COUNTRY,COUNTRY CODE,withformula,log,GPD (PPP)
Afghanistan,AFG,0,,
Albania,ALB,28220.79506,4.450569245,28221
Algeria,DZA,18586.26075,4.269192026,18586
Andorra,AND,79566.79259,4.900731852,79567
Angola,AGO,10251.34571,4.010780879,10251
Antigua and Barbuda,ATG,35832.47955,4.554276862,35832
Argentina,ARG,32586.63121,4.513039466,32587
Armenia,ARM,24754.21183,4.393649103,24754
Australia,AUS,71934.40339,4.856936646,71934
Austria,AUT,76777.54215,4.885234205,76778
Azerbaijan,AZE,26112.53068,4.416848963,26113
Bahamas,BHS,0,,
Bahrain,BHR,70996.78213,4.851238665,70997
Bangladesh,BGD,10153.70838,4.006624686,10154
Barbados,BRB,25893.86769,4.413196925,25894
Belarus,BLR,34715.97787,4.540529403,34716
Belgium,BEL,74675.60767,4.873178765,74676
Belize,BLZ,14965.75212,4.175098548,14966
Benin,BEN,4816.875047,3.682765381,4817
Bhutan,BTN,19594.00284,4.292123167,19594
Bolivia,BOL,12873.03949,4.109681101,12873
Bosnia and Herzegovina,BIH,25814.26415,4.41185975,25814
Botswana,BWA,20697.91047,4.315926504,20698
Brazil,BRA,23433.28976,4.369833263,23433
Brunei,BRN,92429.92627,4.965812607,92430
Bulgaria,BGR,44451.10016,4.647882514,44451
Burkina Faso,BFA,3071.625467,3.48736826,3072
Burundi,BDI,1248.05425,3.096233464,1248
Cambodia,KHM,8542.696538,3.931594979,8543
Cameroon,CMR,5787.854403,3.762517598,5788
Canada,CAN,66745.82486,4.824424105,66746
Cape Verde,CPV,12165.29893,4.085122785,12165
Central African Republic,CAF,1313.876568,3.118554567,1314
Chad,TCD,2902.740616,3.46280823,2903
Chile,CHL,37774.08791,4.577193987,37774
China,CHN,29333.33111,4.467361384,29333
Colombia,COL,22640.42246,4.354884526,22640
Comoros,COM,4238.261334,3.627187732,4238
Costa Rica,CRI,33814.76963,4.529106433,33815
Croatia,HRV,50946.16711,4.707111516,50946
Cuba,CUB,0,,
Cyprus,CYP,64574.62109,4.810061867,64575
Czechia,CZE,60487.28775,4.781664111,60487
DR Congo,COD,1919.822502,3.283261078,1920
Denmark,DNK,83218.07153,4.920217647,83218
Djibouti,DJI,8451.968381,3.926957864,8452
Dominica,DMA,22713.1288,4.356276964,22713
Dominican Republic,DOM,28721.09646,4.458201016,28721
Ecuador,ECU,16756.65396,4.224187301,16757
Egypt,EGY,20204.01305,4.30543764,20204
El Salvador,SLV,14101.17748,4.149255379,14101
Equatorial Guinea,GNQ,16133.10561,4.207717977,16133
Eritrea,ERI,0,,
Estonia,EST,52105.50934,4.716883646,52106
Eswatini,SWZ,12529.27966,4.097926103,12529
Ethiopia,ETH,3621.674876,3.55890946,3622
Fiji,FJI,16337.5723,4.213187522,16338
Finland,FIN,65884.4877,4.818783173,65884
France,FRA,63975.35359,4.806012695,63975
Gabon,GAB,22218.34107,4.346711629,22218
Gambia,GMB,3705.64184,3.568863441,3706
Georgia,GEO,29414.38134,4.468559719,29414
Germany,DEU,75406.68881,4.877409871,75407
Ghana,GHA,8610.279692,3.935017259,8610
Greece,GRC,45263.64985,4.655749571,45264
Grenada,GRD,21345.96534,4.3293158,21346
Guatemala,GTM,15197.08314,4.181760239,15197
Guinea,GIN,4934.65126,3.693256466,4935
Guinea-Bissau,GNB,3293.095323,3.517604302,3293
Guyana,GUY,97899.01162,4.990778307,97899
Haiti,HTI,3133.723479,3.496060672,3134
Honduras,HND,7871.091291,3.896034949,7871
Hungary,HUN,49837.60084,4.697557127,49838
Iceland,ISL,83431.21314,4.921328559,83431
India,IND,11747.91604,4.069960834,11748
Indonesia,IDN,17659.79213,4.246985587,17660
Iran,IRN,19699.21935,4.294449016,19699
Iraq,IRQ,14266.79653,4.154326468,14267
Ireland,IRL,155089.4131,5.190582153,155089
Israel,ISR,59716.97354,4.77609779,59717
Italy,ITA,62802.51084,4.797977007,62803
Ivory Coast,CIV,8208.908986,3.914285441,8209
Jamaica,JAM,13291.25377,4.12356595,13291
Japan,JPN,55421.87975,4.743681252,55422
Jordan,JOR,12631.62994,4.101459394,12632
Kazakhstan,KAZ,44293.48396,4.646339842,44293
Kenya,KEN,7015.935788,3.846085606,7016
Kiribati,KIR,3936.612637,3.595122682,3937
Kuwait,KWT,56467.72721,4.751800308,56468
Kyrgyzstan,KGZ,9219.514437,3.964708049,9220
Laos,LAO,10382.99907,4.016322815,10383
Latvia,LVA,46136.68938,4.664046428,46137
Lebanon,LBN,0,,
Lesotho,LSO,3184.117252,3.502989052,3184
Liberia,LBR,1981.094833,3.296905265,1981
Libya,LBY,16521.39982,4.218046841,16521
Liechtenstein,LIE,0,,
Lithuania,LTU,56837.8067,4.754637311,56838
Luxembourg,LUX,156542.0758,5.194631089,156542
Madagascar,MDG,1952.484269,3.290587543,1952
Malawi,MWI,1899.291665,3.278591662,1899
Malaysia,MYS,41497.67461,4.618023761,41498
Maldives,MDV,28554.89457,4.455680561,28555
Mali,MLI,3502.761324,3.544410546,3503
Malta,MLT,72210.33922,4.858599385,72210
Marshall Islands,MHL,8964.322129,3.952517454,8964
Mauritania,MRT,7675.519967,3.885107806,7676
Mauritius,MUS,33666.64356,4.527199821,33667
Mexico,MEX,25868.47875,4.41277089,25868
Micronesia,FSM,4604.395408,3.663172612,4604
Moldova,MDA,19995.75909,4.300937896,19996
Monaco,MCO,0,,
Mongolia,MNG,20797.76527,4.318016672,20798
Montenegro,MNE,35422.64498,4.549280987,35423
Morocco,MAR,11111.70801,4.045780821,11112
Mozambique,MOZ,1697.941093,3.229922619,1698
Myanmar,MMR,6011.534922,3.778985374,6012
Namibia,NAM,11985.72003,4.078664129,11986
Nauru,NRU,14200.48678,4.152303232,14200
Nepal,NPL,6175.158972,3.790648142,6175
Netherlands,NLD,87320.14773,4.941114462,87320
New Zealand,NZL,57350.36277,4.758536169,57350
Nicaragua,NIC,9283.923015,3.967731531,9284
Niger,NER,2177.250144,3.337908328,2177
Nigeria,NGA,9531.610733,3.979166298,9532
North Korea,PRK,0,,
North Macedonia,MKD,28028.56642,4.447600885,28029
Norway,NOR,104043.6664,5.017215648,104044
Oman,OMN,42295.17612,4.626290838,42295
Pakistan,PAK,6573.416134,3.817791126,6573
Palau,PLW,23051.67871,4.362702558,23052
Panama,PAN,43902.16321,4.64248592,43902
Papua New Guinea,PNG,5214.768272,3.717235014,5215
Paraguay,PRY,20181.42428,4.304951813,20181
Peru,PER,18816.10455,4.274529718,18816
Philippines,PHL,12576.98674,4.099576603,12577
Poland,POL,54262.40404,4.734499031,54262
Portugal,PRT,53145.73175,4.725468391,53146
Qatar,QAT,128882.9342,5.110195415,128883
Congo,COG,7248.444391,3.860244811,7248
Romania,ROU,50895.08162,4.706675815,50895
Russia,RUS,49568.14063,4.695202628,49568
Rwanda,RWA,4164.436606,3.619556255,4164
Saint Kitts and Nevis,KNA,36777.26269,4.565579402,36777
Saint Lucia,LCA,28673.84379,4.457485915,28674
Saint Vincent and the Grenadines,VCT,22799.40053,4.357923428,22799
Samoa,WSM,9318.957759,3.969367343,9319
San Marino,SMR,0,,
Sao Tome and Principe,STP,6388.477387,3.805397362,6388
Saudi Arabia,SAU,73783.56139,4.867959614,73784
Senegal,SEN,5463.218286,3.737448553,5463
Serbia,SRB,33909.76057,4.530324723,33910
Seychelles,SYC,35854.02816,4.554537955,35854
Sierra Leone,SLE,3716.894105,3.570180188,3717
Singapore,SGP,163353.9903,5.213129747,163354
Slovakia,SVK,49308.70485,4.692923595,49309
Slovenia,SVN,59244.71064,4.772649583,59245
Solomon Islands,SLB,2787.616564,3.445233036,2788
Somalia,SOM,1642.770323,3.215576849,1643
South Africa,ZAF,15905.67944,4.201552226,15906
South Korea,KOR,63124.91522,4.800200808,63125
South Sudan,SSD,0,,
Spain,ESP,59867.69447,4.777192534,59868
Sri Lanka,LKA,17065.02986,4.232107053,17065
Sudan,SDN,2192.272217,3.34089448,2192
Suriname,SUR,22652.39526,4.355114131,22652
Sweden,SWE,72528.88926,4.860511027,72529
