rank,country,actual_reward_usd,predicted_baseline_usd,residual_usd,valuation_status,log
1,Switzerland,11.508439530783738,5.853239123355985,5.655200407427753,Overvalued (+),5.010780414
2,Denmark,9.986529960040182,5.5090125637808764,4.477517396259305,Overvalued (+),4.920217647
3,Iceland,9.609155074444363,5.513235109407718,4.095919965036645,Overvalued (+),4.921328559
4,Sweden,8.908487387715875,5.28206936110181,3.626418026614065,Overvalued (+),4.860511027
5,Finland,8.626389911433872,5.123462948149866,3.502926963284006,Overvalued (+),4.818783173
6,Georgia,7.192676414796493,3.7922733362762475,3.4004030785202453,Overvalued (+),4.468559719
7,Norway,9.227172418797181,5.8776992688800345,3.349473149917147,Overvalued (+),5.017215648
8,France,8.081201576321925,5.07492271631188,3.0062788600100454,Overvalued (+),4.806012695
9,Netherlands,8.534103298087855,5.588440776630508,2.945662521457347,Overvalued (+),4.941114462
10,Belgium,8.048115887003725,5.33021908105613,2.7178968059475945,Overvalued (+),4.873178765
11,United States,8.29275612716881,5.638826399475667,2.653929727693143,Overvalued (+),4.954370445
12,Germany,7.98092656201946,5.346301397330519,2.6346251646889405,Overvalued (+),4.877409871
13,Austria,7.961336322766705,5.376041473335336,2.585294849431369,Overvalued (+),4.885234205
14,Burundi,1.0,-1.4239006060817836,2.4239006060817836,Overvalued (+),3.096233464
15,Central African Republic,1.0,-1.3390587141416717,2.3390587141416717,Overvalued (+),3.118554567
16,Micronesia,2.9953525780444963,0.7310193336378443,2.264333244406652,Overvalued (+),3.663172612
17,Palau,5.427010339813031,3.389913210316111,2.03709712949692,Overvalued (+),4.362702558
18,Somalia,1.0,-0.9702797176365632,1.9702797176365632,Overvalued (+),3.215576849
19,Barbados,5.5196085094596175,3.581840895457768,1.9377676140018494,Overvalued (+),4.413196925
20,Mozambique,1.0,-0.9157518447022497,1.9157518447022497,Overvalued (+),3.229922619
21,Italy,6.918095145216472,5.044379289629047,1.8737158555874247,Overvalued (+),4.797977007
22,Japan,6.595843414137007,4.838002634384148,1.7578407797528586,Overvalued (+),4.743681252
23,Qatar,7.986298823767388,6.231112778258618,1.7551860455087702,Overvalued (+),5.110195415
24,Australia,7.0119551642709625,5.268483238294399,1.7434719259765634,Overvalued (+),4.856936646
25,Malawi,1.0,-0.7307621653376266,1.7307621653376266,Overvalued (+),3.278591662
26,DR Congo,1.0,-0.7130138449389705,1.7130138449389705,Overvalued (+),3.283261078
27,Madagascar,1.0,-0.6851661551615873,1.6851661551615873,Overvalued (+),3.290587543
28,Liberia,1.0,-0.6611526694825116,1.6611526694825116,Overvalued (+),3.296905265
29,United Kingdom,6.735127688267631,5.0911281194689675,1.6439995687986633,Overvalued (+),4.810276184
30,Vanuatu,2.3347597964635507,0.7023929386861791,1.6323668577773716,Overvalued (+),3.655641277
31,Luxembourg,8.117718346898847,6.552050427683854,1.5656679192149934,Overvalued (+),5.194631089
32,Canada,6.703841192410827,5.144903973854804,1.5589372185560233,Overvalued (+),4.824424105
33,Niger,1.0,-0.5053011669712042,1.5053011669712042,Overvalued (+),3.337908328
34,Sudan,1.0,-0.4939508862390749,1.493950886239075,Overvalued (+),3.34089448
35,Spain,6.427015315486924,4.965378085598127,1.4616372298887965,Overvalued (+),4.777192534
36,Maldives,5.138103708528486,3.7433200147797425,1.3947836937487432,Overvalued (+),4.455680561
37,New Zealand,6.279160255803678,4.894465760910348,1.3846944948933295,Overvalued (+),4.758536169
38,Israel,6.335669498833537,4.961216994089783,1.3744525047437541,Overvalued (+),4.77609779
39,Kuwait,6.208680288852548,4.868862940517216,1.3398173483353322,Overvalued (+),4.751800308
40,Greece,5.704591997724972,4.503776759546584,1.2008152381783876,Overvalued (+),4.655749571
41,Cyprus,6.287605133748941,5.090313506510325,1.1972916272386156,Overvalued (+),4.810061867
42,Grenada,4.4542578659176435,3.2630110713641667,1.1912467945534768,Overvalued (+),4.3293158
43,Nauru,3.750687067750641,2.590191221632825,1.1604958461178163,Overvalued (+),4.152303232
44,Tuvalu,2.48483154539504,1.3647470205227652,1.1200845248722748,Overvalued (+),3.8299004
45,Solomon Islands,1.0,-0.09736293566425935,1.0973629356642594,Overvalued (+),3.445233036
46,Chad,1.0,-0.030560111889174735,1.0305601118891747,Overvalued (+),3.46280823
47,Burkina Faso,1.0,0.06279187933213493,0.9372081206678651,Overvalued (+),3.48736826
48,Haiti,1.0,0.09583149568097404,0.904168504319026,Overvalued (+),3.496060672
49,Andorra,6.331089223253034,5.4349475987226,0.8961416245304346,Overvalued (+),4.900731852
50,Saudi Arabia,6.198711133048654,5.310381233206,0.8883298998426543,Overvalued (+),4.867959614
51,Malta,6.154684683074803,5.2748032630065556,0.8798814200682479,Overvalued (+),4.858599385
52,Lesotho,1.0,0.1221660754407683,0.8778339245592317,Overvalued (+),3.502989052
53,Guinea-Bissau,1.0,0.1777182343630983,0.8222817656369017,Overvalued (+),3.517604302
54,Uganda,1.0,0.2724938303086706,0.7275061696913294,Overvalued (+),3.542538869
55,Mali,1.0,0.27960802255001305,0.720391977449987,Overvalued (+),3.544410546
56,South Korea,5.7455937348231725,5.052831895404767,0.6927618394184059,Overvalued (+),4.800200808
57,Ethiopia,1.0,0.33471799157067395,0.665282008429326,Overvalued (+),3.55890946
58,Jordan,3.0491780450600547,2.396935206936032,0.6522428381240228,Overvalued (+),4.101459394
59,Gambia,1.0,0.37255279661484764,0.6274472033851524,Overvalued (+),3.568863441
60,Sierra Leone,1.0,0.3775577153541452,0.6224422846458548,Overvalued (+),3.570180188
61,Ireland,7.1456993430905165,6.53666053451485,0.6090388085756668,Overvalued (+),5.190582153
62,Kiribati,1.0,0.47236344160633337,0.5276365583936666,Overvalued (+),3.595122682
63,Marshall Islands,2.3449331158631166,1.8308110338236752,0.5141220820394414,Overvalued (+),3.952517454
64,Dominica,3.856288373175797,3.3654897061640536,0.49079866701174346,Overvalued (+),4.356276964
65,Bahrain,5.735062796315338,5.246825370926521,0.4882374253888173,Overvalued (+),4.851238665
66,Togo,1.0,0.5311635388741234,0.4688364611258766,Overvalued (+),3.610592434
67,Czechia,5.417867067274184,4.9823744254580316,0.4354926418161522,Overvalued (+),4.781664111
68,Rwanda,1.0,0.5652347732863525,0.4347652267136475,Overvalued (+),3.619556255
69,Oman,4.81365484534516,4.391804934414166,0.42184991093099367,Overvalued (+),4.626290838
70,Comoros,1.0,0.5942418051959066,0.40575819480409336,Overvalued (+),3.627187732
71,Zambia,1.0,0.6482655095758822,0.35173449042411775,Overvalued (+),3.64140086
72,Saint Lucia,4.068092209325405,3.750182115141973,0.3179100941834321,Overvalued (+),4.457485915
73,Tanzania,1.0,0.6824717925303201,0.3175282074696799,Overvalued (+),3.650400211
74,Slovakia,4.96011469644483,4.645074191272387,0.3150405051724423,Overvalued (+),4.692923595
75,Estonia,5.0194452621290315,4.736145678995085,0.2832995831339469,Overvalued (+),4.716883646
76,Timor-Leste,1.0,0.802958164081403,0.19704183591859703,Overvalued (+),3.682099041
77,Benin,1.0,0.8054909038960698,0.1945090961039302,Overvalued (+),3.682765381
78,Guinea,1.0,0.8453672263118808,0.15463277368811923,Overvalued (+),3.693256466
79,Singapore,6.725054278993886,6.622363312449144,0.10269096654474197,Overvalued (+),5.213129747
80,Papua New Guinea,1.0,0.9365090206173328,0.06349097938266723,Overvalued (+),3.717235014
81,Fiji,2.8809105614756803,2.821610715240757,0.05929984623492324,Overvalued (+),4.213187522
82,Saint Kitts and Nevis,4.2022502615123125,4.161042454054611,0.041207807457701584,Overvalued (+),4.565579402
83,China,3.781967984295777,3.787718498256906,-0.005750513961128689,Undervalued (-),4.467361384
84,Senegal,1.0,1.0133401203871468,-0.013340120387146825,Undervalued (-),3.737448553
85,Croatia,4.673374822928368,4.69900208454616,-0.025627261617792385,Undervalued (-),4.707111516
86,Djibouti,1.650899542670602,1.7336597428317546,-0.08276020016115271,Undervalued (-),3.926957864
87,Belize,2.586937020304945,2.6768355840020455,-0.08989856369710036,Undervalued (-),4.175098548
88,Cameroon,1.0,1.1086268634720131,-0.10862686347201311,Undervalued (-),3.762517598
89,Jamaica,2.3558256627203917,2.480961611693898,-0.12513594897350622,Undervalued (-),4.12356595
90,Tajikistan,1.0,1.1468598165529933,-0.1468598165529933,Undervalued (-),3.772576328
91,Myanmar,1.0,1.1712204222171145,-0.17122042221711453,Undervalued (-),3.778985374
92,Nepal,1.0,1.2155502791412385,-0.21555027914123848,Undervalued (-),3.790648142
93,Thailand,3.374373434153822,3.6043942680746124,-0.2300208339207903,Undervalued (-),4.419130505
94,Honduras,1.365036235287594,1.6161226026239763,-0.25108636733638234,Undervalued (-),3.896034949
95,Sao Tome and Principe,1.0,1.2716116543089857,-0.2716116543089857,Undervalued (-),3.805397362
96,Morocco,1.9103719487487334,2.1853024989177197,-0.27493055016898627,Undervalued (-),4.045780821
97,Zimbabwe,1.0,1.2926494652811726,-0.29264946528117264,Undervalued (-),3.810932212
98,Pakistan,1.0,1.3187200067062328,-0.3187200067062328,Undervalued (-),3.817791126
99,Saint Vincent and the Grenadines,3.0231902404971107,3.3717478700536834,-0.34855762955657266,Undervalued (-),4.357923428
100,Latvia,4.163630147054151,4.535312882337491,-0.3716827352833407,Undervalued (-),4.664046428
101,Slovenia,4.5678939205383635,4.9481104551485355,-0.380216534610172,Undervalued (-),4.772649583
102,Kenya,1.0,1.4262665385537705,-0.4262665385537705,Undervalued (-),3.846085606
103,El Salvador,2.1066745061462164,2.5786064171150844,-0.471931910968868,Undervalued (-),4.149255379
104,South Africa,2.2984502900756607,2.7773852786248643,-0.4789349885492036,Undervalued (-),4.201552226
105,Congo,1.0,1.4800852831098936,-0.4800852831098936,Undervalued (-),3.860244811
106,Lithuania,4.366199717755873,4.879646310046928,-0.5134465922910545,Undervalued (-),4.754637311
107,Samoa,1.363821714675093,1.894856993458415,-0.5310352787833219,Undervalued (-),3.969367343
108,Portugal,4.237254794518682,4.768776056070243,-0.5315212615515605,Undervalued (-),4.725468391
109,Montenegro,3.533588433771731,4.099092631762,-0.5655041979902689,Undervalued (-),4.549280987
110,Mauritania,1.0,1.5745888358732856,-0.5745888358732856,Undervalued (-),3.885107806
111,Poland,4.152723191610226,4.803101267643795,-0.6503780760335687,Undervalued (-),4.734499031
112,Ivory Coast,1.0,1.6854922153226806,-0.6854922153226806,Undervalued (-),3.914285441
113,Cambodia,1.0,1.751285288027434,-0.7512852880274341,Undervalued (-),3.931594979
114,Ghana,1.0,1.7642932791624943,-0.7642932791624943,Undervalued (-),3.935017259
115,Russia,3.8818568585447824,4.6537367323445675,-0.7718798737997852,Undervalued (-),4.695202628
116,Tonga,1.0,1.7765940918181045,-0.7765940918181045,Undervalued (-),3.938253487
117,Namibia,1.4455025632943215,2.3102910384163913,-0.8647884751220698,Undervalued (-),4.078664129
118,Kyrgyzstan,1.0,1.8771471465003486,-0.8771471465003486,Undervalued (-),3.964708049
119,Nicaragua,1.0,1.8886393175246443,-0.8886393175246443,Undervalued (-),3.967731531
120,Antigua and Barbuda,3.1939440095284053,4.118081813743567,-0.9241378042151616,Undervalued (-),4.554276862
121,Nigeria,1.0,1.9321025489865633,-0.9321025489865633,Undervalued (-),3.979166298
122,Suriname,2.3739269434147543,3.361069810259698,-0.9871428668449438,Undervalued (-),4.355114131
123,Paraguay,2.1598539208505683,3.1704042341355443,-1.010550313284976,Undervalued (-),4.304951813
124,Hungary,3.631545015449774,4.662686117584675,-1.0311411021349013,Undervalued (-),4.697557127
125,Bangladesh,1.0,2.0364711183868174,-1.0364711183868174,Undervalued (-),4.006624686
126,Peru,2.0093403525864235,3.054770696824159,-1.0454303442377353,Undervalued (-),4.274529718
127,Angola,1.0,2.052268692430907,-1.052268692430907,Undervalued (-),4.010780879
128,Laos,1.0,2.0733334370920904,-1.0733334370920904,Undervalued (-),4.016322815
129,Bhutan,2.017244157923618,3.1216429073467236,-1.1043987494231056,Undervalued (-),4.292123167
130,Ukraine,1.8334868913537399,3.062549443442718,-1.229062552088978,Undervalued (-),4.276576233
131,Philippines,1.1479593189559716,2.389778770689677,-1.2418194517337056,Undervalued (-),4.099576603
132,India,1.0,2.2772100560871156,-1.2772100560871156,Undervalued (-),4.069960834
133,Iran,1.850998573478167,3.1304833947333446,-1.2794848212551775,Undervalued (-),4.294449016
134,Colombia,2.0735099972826876,3.36019708803809,-1.2866870907554024,Undervalued (-),4.354884526
