COUNTRY,claude-haiku-4.5,deepseek-v4-pro,glm-5.2,gpt-5.4-mini,mistral-large-3
Afghanistan,,,,,
Albania,6.087128812,-1.202365546,-1.516322802,-0.31609112,-1.868670332
Algeria,10.08826816,-1.719319046,-1.800430691,-0.241506644,3.863754181
Andorra,2.687199375,-0.227714995,0.896141625,0.01317565,-0.813160943
Angola,0.818277781,-0.362616999,-1.052268692,-0.135244897,6.376293964
Antigua and Barbuda,-6.240573332,-0.529041182,-0.924137804,-0.35873693,3.902401405
Argentina,7.230599327,-0.597340592,-1.924957392,0.742955921,-0.560111423
Armenia,-0.873328499,-0.758390354,-1.534235383,-0.292684879,-4.552384793
Australia,3.200439109,1.277638689,1.743471926,-0.483194244,9.108535705
Austria,2.868817615,0.504517718,2.585294849,0.067187218,9.03731403
Azerbaijan,-1.048513698,-0.874545835,-1.57019823,-0.302224938,-2.802759499
Bahamas,,,,,
Bahrain,-11.57792116,-0.212326902,0.488237425,-0.480851166,-1.325997434
Bangladesh,-6.202086155,-1.422290276,-1.036471118,-0.133535821,-7.557068633
Barbados,4.070229308,0.77809686,1.937767614,-0.300723176,-3.112937883
Belarus,-3.903393411,-0.283585845,-2.824815599,-0.35308381,1.773057528
Belgium,3.010096339,1.426356487,2.717896806,1.892133703,4.921470574
Belize,-0.007317457,0.002641798,-0.089898564,-0.202814283,-1.843279696
Benin,-2.098254257,0.761907832,0.194509096,-0.000361011,4.878787943
Bhutan,2.041199459,-0.507686229,-1.104398749,-0.250936203,-3.448531148
Bolivia,-0.562692079,-0.532913639,-1.428185687,-0.175913848,-1.3514886
Bosnia and Herzegovina,7.215864475,-0.051196543,-2.129004281,-0.300173314,0.813920721
Botswana,-7.847102225,-0.958971212,-1.967423388,-0.260724419,-3.061571287
Brazil,8.908844966,-0.885200101,-1.789040728,-0.282891521,1.395718412
Brunei,-14.11093375,-0.043595379,-1.299213917,-0.527965338,-5.596450301
Bulgaria,4.875749203,-1.277351827,-2.236348693,-0.39722869,-0.71869455
Burkina Faso,1.69755679,0.101926584,0.937208121,0.079988616,-1.763206375
Burundi,1.05127301,1.316651033,2.423900606,0.240827911,-0.398579997
Cambodia,-2.952193697,-0.19018919,-0.751285288,-0.10268271,-4.79466161
Cameroon,-2.853462714,-0.286466661,-0.108626863,-0.033156074,-2.605753372
Canada,3.581456334,0.979350314,1.558937219,-0.408045826,7.89868951
Cape Verde,-3.488578562,-0.516959033,-1.33484021,-0.165815176,-3.006628011
Central African Republic,1.776590566,1.379145826,2.339058714,0.244436329,11.69546318
Chad,-0.102454289,0.178201232,1.030560112,0.090087994,12.61739531
Chile,2.965300647,-0.801512321,-1.319721268,-0.368160725,-5.082732654
China,7.765904644,0.128793592,-0.005750514,-0.322996248,2.143536256
Colombia,3.90143444,-1.090239991,-1.286687091,0.274609693,-6.214653412
Comoros,0.023656002,0.128042971,0.405758195,0.022493181,-1.382189355
Costa Rica,-4.148752829,-1.130306594,-1.322970938,1.129898128,-4.812343689
Croatia,4.956252514,-0.115431431,-0.025627262,0.870277825,-2.003887054
Cuba,,,,,
Cyprus,2.03438047,0.249512885,1.197291627,-0.451131653,1.686333732
Czechia,4.08256433,-0.153619412,0.435492642,0.858339802,-0.295513732
DR Congo,-1.278595603,1.250189321,1.713013845,0.163919925,7.30607249
Denmark,2.458843691,2.037785833,4.477517396,1.531563544,-0.539296808
Djibouti,-0.937571652,-0.029611548,-0.0827602,-0.100775873,-0.442211622
Dominica,-4.405345398,-0.743593861,0.490798667,-0.277317009,-0.183517864
Dominican Republic,-7.463829587,-1.346033242,-1.590873666,-0.319229395,-3.80693149
Ecuador,-1.183869329,-0.674234991,-1.738483401,0.218184047,-5.737503839
Egypt,1.030490222,-1.18024135,-2.172250849,-0.256411273,2.015715434
El Salvador,-5.413720476,-1.047660562,-0.471931911,-0.192187264,-6.553215289
Equatorial Guinea,-3.841796793,0.035917687,-1.800821127,-0.216227781,7.165231212
Eritrea,,,,,
Estonia,4.841732094,-0.337579779,0.283299583,1.130153215,-1.681190285
Eswatini,-3.145715454,-0.80231896,-1.383505266,-0.171080053,2.011450093
Ethiopia,-1.920489536,-0.120254735,0.665282008,0.050570021,-4.001964352
Fiji,-1.852278162,-0.551630376,0.059299846,-0.218476924,-0.495888766
Finland,3.647562895,1.096454096,3.502926963,-0.46750508,-0.676968832
France,3.797221209,1.830779111,3.00627886,4.511038379,8.01643402
Gabon,-6.36253975,-1.065400232,-2.329132134,-0.273383629,-0.738407743
Gambia,-3.992490111,-0.151168231,0.627447203,0.046476826,-1.3366892
Georgia,-1.624668559,1.493682284,3.400403079,-0.323489018,3.077553861
Germany,2.960511648,1.592171565,2.634625165,0.577770864,9.057006972
Ghana,-8.283477758,-1.288310719,-0.764293279,-0.104089993,-7.175072577
Greece,5.558167503,0.045522798,1.200815238,0.820718799,6.161875167
Grenada,-8.110633821,0.367526604,1.191246795,-0.266230257,8.370634315
Guatemala,-2.887283883,-0.316531891,-1.501942319,-0.20555365,-1.717037286
Guinea,-4.532100325,-0.11939505,0.154632774,-0.00467507,1.338102508
Guinea-Bissau,2.569813799,0.594377331,0.822281766,0.199371332,9.865774043
Guyana,-14.38705426,-2.970936108,-4.577023423,-0.538231531,-7.694819231
Haiti,-0.198328482,0.074931069,0.904168504,0.076414193,0.976568819
Honduras,0.461656715,0.313520062,-0.251086367,-0.088060002,-3.39785066
Hungary,5.068221209,-0.47659819,-1.031141102,-0.417655484,1.189889521
Iceland,2.445824819,2.538646136,4.095919965,-0.509672966,-5.608211666
India,-7.540296583,-0.241837933,-1.277210056,-0.159580401,-7.120483401
Indonesia,0.623385878,-0.800206227,-1.950076221,-0.232375091,-7.040122133
Iran,9.79227935,-0.6168018,-1.279484821,-0.251892619,4.838802492
Iraq,5.157846974,-0.104123544,-1.597881485,-0.194272556,4.606253448
Ireland,-0.709580885,0.734063173,0.609038809,-0.620393257,7.582522615
Israel,4.147796518,1.430083842,1.374452505,-0.449952342,4.427894956
Italy,3.891392118,1.127489688,1.873715856,0.096395052,1.409423255
Ivory Coast,-3.434713337,-1.223925125,-0.685492215,-0.095564822,3.111777601
Jamaica,1.784593121,0.288353826,-0.125135949,-0.181623464,-1.250220284
Japan,4.527688676,0.850505534,1.75784078,-0.132944496,3.506649474
Jordan,4.545364704,0.269871128,0.652242838,-0.172532984,-2.226367413
