rank,country,actual_reward_usd,predicted_baseline_usd,residual_usd,valuation_status,log
1,France,5.973292086462152,1.4622537073782196,4.511038379083932,Overvalued (+),4.806012695
2,North Macedonia,3.749816876699915,1.314870495096147,2.434946381603768,Overvalued (+),4.447600885
3,Sweden,3.579478091957208,1.4846640716856205,2.0948140202715875,Overvalued (+),4.860511027
4,Belgium,3.3820068993298693,1.48987319668289,1.8921337026469793,Overvalued (+),4.873178765
5,Switzerland,3.2195032804230967,1.546456636399707,1.6730466440233898,Overvalued (+),5.010780414
6,Denmark,3.0407796900344857,1.5092161461557814,1.5315635438787043,Overvalued (+),4.920217647
7,Spain,2.811830264199081,1.4504025133378602,1.3614277508612207,Overvalued (+),4.777192534
8,Norway,2.8604283621460174,1.5491028813956709,1.3113254807503465,Overvalued (+),5.017215648
9,Estonia,2.555755994475922,1.4256027790807784,1.1301532153951437,Overvalued (+),4.716883646
10,Costa Rica,2.4782846764562225,1.3483865488306783,1.1298981276255442,Overvalued (+),4.529106433
11,New Zealand,2.4617027881845766,1.442730793471244,1.0189719947133324,Overvalued (+),4.758536169
12,Croatia,2.291862187263929,1.421584362638982,0.870277824624947,Overvalued (+),4.707111516
13,Czechia,2.3105810812547607,1.452241279148135,0.8583398021066257,Overvalued (+),4.781664111
14,Greece,2.221182516690461,1.4004637180844535,0.8207187986060074,Overvalued (+),4.655749571
15,Solomon Islands,1.6634052015094325,0.9026848768993256,0.7607203246101069,Overvalued (+),3.445233036
16,Panama,2.1437981705294087,1.3950095465520804,0.7487886239773283,Overvalued (+),4.64248592
17,Argentina,2.0847355412990636,1.3417796203143162,0.7429559209847474,Overvalued (+),4.513039466
18,Papua New Guinea,1.7381361325395743,1.0145353353558082,0.7236007971837661,Overvalued (+),3.717235014
19,Mauritania,1.6863170570202473,1.0835666302222364,0.6027504267980108,Overvalued (+),3.885107806
20,Germany,2.069383941554762,1.4916130779490404,0.5777708636057215,Overvalued (+),4.877409871
21,Peru,1.8091753231541623,1.2437015664108253,0.565473756743337,Overvalued (+),4.274529718
22,Lithuania,1.9507802770055531,1.4411275365465581,0.509652740458995,Overvalued (+),4.754637311
23,Portugal,1.8803952216319335,1.4291329286445507,0.45126229298738285,Overvalued (+),4.725468391
24,Colombia,1.5513541151461834,1.276744422128524,0.27460969301765936,Overvalued (+),4.354884526
25,Central African Republic,1.0127871225123222,0.7683507930291276,0.2444363294831946,Overvalued (+),3.118554567
26,Burundi,1.0,0.75917208917498,0.24082791082501998,Overvalued (+),3.096233464
27,Mongolia,1.4848322196101669,1.2615839207140573,0.22324829889610953,Overvalued (+),4.318016672
28,Ecuador,1.4411842104753163,1.223000163933313,0.2181840465420033,Overvalued (+),4.224187301
29,Suriname,1.48524605801452,1.276838838443812,0.20840721957070785,Overvalued (+),4.355114131
30,Guinea-Bissau,1.1318161364859802,0.9324448048994671,0.1993713315865131,Overvalued (+),3.517604302
31,Poland,1.6279760938154553,1.4328464355520465,0.19512965826340878,Overvalued (+),4.734499031
32,Somalia,1.0,0.8082475129059006,0.19175248709409942,Overvalued (+),3.215576849
33,Mozambique,1.0,0.8141466646812276,0.18585333531877235,Overvalued (+),3.229922619
34,Malawi,1.0,0.8341599558058543,0.16584004419414566,Overvalued (+),3.278591662
35,DR Congo,1.0,0.8360800753732351,0.16391992462676486,Overvalued (+),3.283261078
36,Madagascar,1.0,0.8390928051891753,0.16090719481082472,Overvalued (+),3.290587543
37,Liberia,1.0,0.8416907278487693,0.1583092721512307,Overvalued (+),3.296905265
38,Niger,1.0,0.8585516765388927,0.14144832346110725,Overvalued (+),3.337908328
39,Sudan,1.0,0.8597796178673958,0.14022038213260424,Overvalued (+),3.34089448
40,Italy,1.5553443881294005,1.458949336603338,0.09639505152606254,Overvalued (+),4.797977007
41,Chad,1.0,0.9099120063518975,0.0900879936481025,Overvalued (+),3.46280823
42,Burkina Faso,1.0,0.9200113836998263,0.07998861630017373,Overvalued (+),3.48736826
43,Haiti,1.0,0.9235858072185135,0.07641419278148653,Overvalued (+),3.496060672
44,Lesotho,1.0,0.9264348397331252,0.07356516026687476,Overvalued (+),3.502989052
45,Austria,1.5620177550399545,1.4948305374375759,0.06718721760237867,Overvalued (+),4.885234205
46,Uganda,1.0,0.9426981963301864,0.057301803669813633,Overvalued (+),3.542538869
47,Mali,1.0,0.9434678522425137,0.05653214775748627,Overvalued (+),3.544410546
48,Ethiopia,1.0,0.9494299786577163,0.05057002134228372,Overvalued (+),3.55890946
49,Gambia,1.0,0.9535231744002748,0.04647682559972521,Overvalued (+),3.568863441
50,Sierra Leone,1.0,0.9540646364760441,0.045935363523955886,Overvalued (+),3.570180188
51,Kiribati,1.0,0.9643212875837357,0.0356787124162643,Overvalued (+),3.595122682
52,Togo,1.0,0.9706826341670614,0.029317365832938647,Overvalued (+),3.610592434
53,Rwanda,1.0,0.9743686643045768,0.025631335695423196,Overvalued (+),3.619556255
54,Comoros,1.0,0.9775068186938443,0.02249318130615574,Overvalued (+),3.627187732
55,Zambia,1.0,0.9833514264962944,0.016648573503705633,Overvalued (+),3.64140086
56,Andorra,1.5143790043841723,1.501203354777701,0.013175649606471218,Overvalued (+),4.900731852
57,Tanzania,1.0,0.9870520669936984,0.012947933006301593,Overvalued (+),3.650400211
58,Vanuatu,1.0,0.9892072558611142,0.010792744138885757,Overvalued (+),3.655641277
59,Micronesia,1.0,0.9923042306652436,0.007695769334756353,Overvalued (+),3.663172612
60,Timor-Leste,1.0,1.0000870040706415,-8.70040706415498e-05,Undervalued (-),3.682099041
61,Benin,1.0,1.00036101102837,-0.0003610110283700507,Undervalued (-),3.682765381
62,Guinea,1.0,1.004675070343615,-0.004675070343614918,Undervalued (-),3.693256466
63,Senegal,1.0,1.022847383748993,-0.02284738374899309,Undervalued (-),3.737448553
64,Cameroon,1.0,1.0331560741376937,-0.033156074137693725,Undervalued (-),3.762517598
65,Tajikistan,1.0,1.0372923439187538,-0.0372923439187538,Undervalued (-),3.772576328
66,Myanmar,1.0,1.0399278200966833,-0.039927820096683275,Undervalued (-),3.778985374
67,Nepal,1.0,1.0447236894402203,-0.044723689440220316,Undervalued (-),3.790648142
68,Sao Tome and Principe,1.0,1.0507887446688828,-0.050788744668882835,Undervalued (-),3.805397362
69,Zimbabwe,1.0,1.0530647410220708,-0.053064741022070816,Undervalued (-),3.810932212
70,Pakistan,1.0,1.0558852082887227,-0.055885208288722676,Undervalued (-),3.817791126
71,Tuvalu,1.0,1.060864686226472,-0.0608646862264719,Undervalued (-),3.8299004
72,Kenya,1.0,1.0675202360302773,-0.06752023603027735,Undervalued (-),3.846085606
73,Congo,1.0,1.0733426700518025,-0.0733426700518025,Undervalued (-),3.860244811
74,Honduras,1.0,1.0880600017894444,-0.0880600017894444,Undervalued (-),3.896034949
75,Ivory Coast,1.0,1.0955648218362177,-0.09556482183621773,Undervalued (-),3.914285441
76,Djibouti,1.0,1.1007758733613813,-0.10077587336138127,Undervalued (-),3.926957864
77,Cambodia,1.0,1.102682710372197,-0.102682710372197,Undervalued (-),3.931594979
78,Ghana,1.0,1.104089992737498,-0.10408999273749808,Undervalued (-),3.935017259
79,Tonga,1.0,1.1054207683007173,-0.10542076830071734,Undervalued (-),3.938253487
80,Marshall Islands,1.0,1.1112862817064992,-0.11128628170649923,Undervalued (-),3.952517454
81,Kyrgyzstan,1.0,1.1162991998096436,-0.11629919980964365,Undervalued (-),3.964708049
82,Nicaragua,1.0,1.1175424916795098,-0.11754249167950981,Undervalued (-),3.967731531
83,Samoa,1.0,1.1182151570898644,-0.11821515708986441,Undervalued (-),3.969367343
84,Nigeria,1.0,1.1222446042916947,-0.1222446042916947,Undervalued (-),3.979166298
85,Japan,1.3036777785174398,1.4366222743751698,-0.13294449585772994,Undervalued (-),4.743681252
86,Bangladesh,1.0,1.1335358210279054,-0.1335358210279054,Undervalued (-),4.006624686
87,Angola,1.0,1.1352448971747107,-0.13524489717471067,Undervalued (-),4.010780879
88,Laos,1.0,1.1375238073756373,-0.1375238073756373,Undervalued (-),4.016322815
89,Morocco,1.0,1.1496372908897676,-0.14963729088976763,Undervalued (-),4.045780821
90,India,1.0,1.1595804007135266,-0.15958040071352664,Undervalued (-),4.069960834
91,Namibia,1.0,1.1631592994516529,-0.16315929945165286,Undervalued (-),4.078664129
92,Cape Verde,1.0,1.1658151758534514,-0.1658151758534514,Undervalued (-),4.085122785
93,Eswatini,1.0,1.1710800529642498,-0.17108005296424977,Undervalued (-),4.097926103
94,Philippines,1.0,1.1717587582554387,-0.17175875825543874,Undervalued (-),4.099576603
95,Jordan,1.0,1.172532984377161,-0.17253298437716102,Undervalued (-),4.101459394
96,Bolivia,1.0,1.175913848384131,-0.17591384838413093,Undervalued (-),4.109681101
97,Moldova,1.0767595453000594,1.25456092426557,-0.17780137896551063,Undervalued (-),4.300937896
98,Jamaica,1.0,1.1816234639452687,-0.18162346394526874,Undervalued (-),4.12356595
99,Uzbekistan,1.0,1.185741424926338,-0.18574142492633805,Undervalued (-),4.133580156
100,El Salvador,1.0,1.192187263636223,-0.19218726363622296,Undervalued (-),4.149255379
101,Nauru,1.0,1.1934405771520458,-0.19344057715204577,Undervalued (-),4.152303232
102,Iraq,1.0,1.1942725559333383,-0.19427255593333825,Undervalued (-),4.154326468
103,Belize,1.0,1.2028142830493624,-0.20281428304936244,Undervalued (-),4.175098548
104,Guatemala,1.0,1.2055536498654573,-0.20555364986545732,Undervalued (-),4.181760239
105,Tunisia,1.0,1.2059809533411576,-0.20598095334115762,Undervalued (-),4.182799371
106,South Africa,1.0,1.2136923510469417,-0.21369235104694173,Undervalued (-),4.201552226
107,Equatorial Guinea,1.0,1.2162277814182552,-0.21622778141825516,Undervalued (-),4.207717977
108,Fiji,1.0,1.2184769235763258,-0.21847692357632575,Undervalued (-),4.213187522
109,Libya,1.0,1.2204751335229322,-0.22047513352293224,Undervalued (-),4.218046841
110,Romania,1.2002141675789861,1.4214051971896775,-0.22119102961069137,Undervalued (-),4.706675815
111,Sri Lanka,1.0,1.2262568604418276,-0.22625686044182758,Undervalued (-),4.232107053
112,Indonesia,1.0,1.2323750911300633,-0.23237509113006327,Undervalued (-),4.246985587
113,Vietnam,1.0,1.2366585891746378,-0.23665858917463778,Undervalued (-),4.257402352
114,Algeria,1.0,1.2415066437794189,-0.24150664377941888,Undervalued (-),4.269192026
115,Ukraine,1.0,1.2445431177946469,-0.24454311779464688,Undervalued (-),4.276576233
116,Bhutan,1.0,1.2509362025371873,-0.2509362025371873,Undervalued (-),4.292123167
117,Iran,1.0,1.2518926193943858,-0.2518926193943858,Undervalued (-),4.294449016
118,Paraguay,1.0,1.25621149482376,-0.25621149482375993,Undervalued (-),4.304951813
119,Egypt,1.0,1.2564112726822894,-0.25641127268228936,Undervalued (-),4.30543764
120,Botswana,1.0,1.2607244186958366,-0.2607244186958366,Undervalued (-),4.315926504
121,Grenada,1.0,1.2662302569512096,-0.2662302569512096,Undervalued (-),4.3293158
122,Gabon,1.0,1.2733836293758785,-0.27338362937587846,Undervalued (-),4.346711629
123,Turkmenistan,1.0,1.2764375482348314,-0.27643754823483135,Undervalued (-),4.354138259
124,Dominica,1.0,1.2773170092465198,-0.2773170092465198,Undervalued (-),4.356276964
125,Saint Vincent and the Grenadines,1.0,1.2779940548863575,-0.27799405488635753,Undervalued (-),4.357923428
126,Palau,1.0,1.279959290159474,-0.2799592901594741,Undervalued (-),4.362702558
127,Brazil,1.0,1.2828915211279122,-0.28289152112791216,Undervalued (-),4.369833263
128,Armenia,1.0,1.2926848786693272,-0.29268487866932724,Undervalued (-),4.393649103
129,Bosnia and Herzegovina,1.0,1.3001733139767322,-0.3001733139767322,Undervalued (-),4.41185975
130,Mexico,1.0,1.3005479856150322,-0.30054798561503215,Undervalued (-),4.41277089
131,Barbados,1.0,1.3007231762898166,-0.3007231762898166,Undervalued (-),4.413196925
132,Azerbaijan,1.0,1.3022249378858313,-0.30222493788583127,Undervalued (-),4.416848963
